8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
2	5
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
3	3
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
2	2
2	2
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
5	5
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
2	2
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
6	6
4	4
4	4
4	4
3	3
3	3
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
8	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	6
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
6	6
6	6
4	4
4	4
4	4
3	3
3	3
3	3
3	3
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	2
2	2
2	2
5	5
5	5
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
7	7
7	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
